Iter,Overhead,Size
0,580,1000
0,4043,10000
0,38768,100000
0,325000,1000000
1,580,1000
1,4043,10000
1,38768,100000
1,325000,1000000
2,580,1000
2,4043,10000
2,38768,100000
2,325000,1000000
3,580,1000
3,4043,10000
3,38768,100000
3,325000,1000000
4,580,1000
4,4043,10000
4,38768,100000
4,325000,1000000
5,580,1000
5,4043,10000
5,38768,100000
5,325000,1000000
6,580,1000
6,4043,10000
6,38768,100000
6,325000,1000000
7,580,1000
7,4043,10000
7,38768,100000
7,325000,1000000
8,580,1000
8,4043,10000
8,38768,100000
8,325000,1000000
9,580,1000
9,4043,10000
9,38768,100000
9,325000,1000000
